
end_station_name,end_station_id,Trips,Freq
San Francisco Caltrain (Townsend at 4th),70,92014,0.094
San Francisco Caltrain 2 (330 Townsend),69,58713,0.06
Harry Bridges Plaza (Ferry Building),50,50185,0.051
Embarcadero at Sansome,60,46197,0.047
2nd at Townsend,61,44145,0.045
Market at Sansome,77,40956,0.042
Steuart at Market,74,39598,0.04
Townsend at 7th,65,38545,0.039
Temporary Transbay Terminal (Howard at Beale),55,35477,0.036
Market at 4th,76,26762,0.027
Powell Street BART,39,26746,0.027
Market at 10th,67,25910,0.026
2nd at South Park,64,23895,0.024
Howard at 2nd,63,21615,0.022
Embarcadero at Folsom,51,21297,0.022
5th at Howard,57,21162,0.022
Embarcadero at Bryant,54,19454,0.02
Civic Center BART (7th at Market),72,18999,0.019
Beale at Market,56,18005,0.018
Mechanics Plaza (Market at Battery),75,17724,0.018
Embarcadero at Vallejo,48,17620,0.018
Spear at Folsom,49,16697,0.017
Commercial at Montgomery,45,16393,0.017
Davis at Jackson,42,16299,0.017
Yerba Buena Center of the Arts (3rd @ Howard),68,16108,0.016
South Van Ness at Market,66,15803,0.016
Clay at Battery,41,14196,0.014
Broadway St at Battery St,82,14095,0.014
2nd at Folsom,62,13929,0.014
San Jose Diridon Caltrain Station,2,13315,0.014
Grant Avenue at Columbus Avenue,73,12846,0.013
Powell at Post (Union Square),71,11805,0.012
Post at Kearny,47,11201,0.011
Mountain View Caltrain Station,28,9231,0.009
Washington at Kearny,46,8654,0.009
Golden Gate at Polk,59,8617,0.009
San Francisco City Hall,58,5269,0.005
Santa Clara at Almaden,4,5158,0.005
Mountain View City Hall,27,4651,0.005
San Pedro Square,6,4469,0.005
Paseo de San Antonio,7,3434,0.003
MLK Library,11,3133,0.003
Japantown,9,3106,0.003
Palo Alto Caltrain Station,34,2847,0.003
Castro Street and El Camino Real,32,2735,0.003
San Antonio Caltrain Station,29,2621,0.003
San Antonio Shopping Center,31,2440,0.002
San Jose Civic Center,3,2433,0.002
Ryland Park,84,2384,0.002
University and Emerson,35,2351,0.002
Post at Kearney,47,2310,0.002
San Salvador at 1st,8,2307,0.002
St James Park,13,2147,0.002
San Jose City Hall,10,2109,0.002
Adobe on Almaden,5,1929,0.002
SJSU - San Salvador at 9th,16,1920,0.002
Arena Green / SAP Center,14,1908,0.002
Cowper at University,37,1888,0.002
Redwood City Caltrain Station,22,1870,0.002
SJSU 4th at San Carlos,12,1807,0.002
Washington at Kearney,46,1772,0.002
California Ave Caltrain Station,36,1764,0.002
Evelyn Park and Ride,30,1446,0.001
Santa Clara County Civic Center,80,1159,0.001
Rengstorff Avenue / California Street,33,1123,0.001
Park at Olive,38,1073,0.001
Stanford in Redwood City,25,917,0.001
Redwood City Medical Center,26,464,0.0
San Mateo County Center,23,454,0.0
Charleston Park/ North Bayshore Area,33,367,0.0
Redwood City Public Library,24,344,0.0
Mezes Park,83,287,0.0
Franklin at Maple,21,264,0.0
5th St at Folsom St,90,151,0.0
Mezes,83,114,0.0
Kaiser Hospital,26,108,0.0
S. Market St at Park Ave,89,103,0.0
Middlefield Light Rail Station,30,93,0.0
Broadway at Main,25,81,0.0
Cyril Magnin St at Ellis St,91,68,0.0
5th S at E. San Salvador St,88,24,0.0
San Jose Government Center,80,23,0.0
Sequoia Hospital,21,14,0.0
5th St at E. San Salvador St,88,1,0.0
