
hour,avg_bk_avail,std_bk_avail
13,8.20483771224945,3.6521159177237448
10,8.07580290293535,3.9074898140175787
11,8.113635552125585,3.745076330162709
18,7.872424135942261,4.511933278935892
14,8.219838718030333,3.7099583434132057
6,8.297451877180077,4.375347668131885
7,8.038618314984765,4.296578505338131
16,7.977285537987881,3.6907698271500315
17,7.7544927939893205,4.113886829833437
19,8.123935790518281,4.426490320350961
8,7.865995394698876,4.032187090707805
9,7.926552036686288,4.005694952091444
12,8.129536512591748,3.6488904657817027
15,8.140798239659102,3.6770105831752873
20,8.256707340388692,4.307536456493193
21,8.351331387182915,4.297342254489518
